Date,Open,High,Low,Close
20/2/2019,8781.400391,8858.049805,8780,8845.599609
21/2/2019,8857.5,8912.400391,8839.75,8901.700195
22/2/2019,8899.599609,8925.700195,8885.900391,8919.75
25/2/2019,8941.150391,8989.900391,8921.900391,8983.849609
26/2/2019,8899,8994,8846.099609,8953.150391
27/2/2019,8991.799805,9057.400391,8896.200195,8946.200195
28/2/2019,8990.349609,8990.599609,8941.599609,8955.950195
1/3/2019,8995.450195,9045.700195,8994,9037.5
5/3/2019,9042.900391,9178.950195,9014.700195,9173.599609
6/3/2019,9211.799805,9243.299805,9197.900391,9230.450195
7/3/2019,9251.650391,9254.450195,9210.900391,9225.349609
8/3/2019,9213.299805,9225.299805,9184.549805,9211.049805
11/3/2019,9240.799805,9353.400391,9235.599609,9345.599609
12/3/2019,9399.599609,9461.599609,9396.849609,9440.849609
13/3/2019,9461.25,9471.400391,9416.650391,9450.25
14/3/2019,9481.849609,9486.5,9424.5,9447.200195
15/3/2019,9473.849609,9540.950195,9471.400391,9499.400391
18/3/2019,9536.049805,9572.950195,9481.650391,9516.700195
19/3/2019,9549.75,9576.049805,9513.450195,9570.150391
20/3/2019,9587.5,9588.5,9540.900391,9553
22/3/2019,9572.349609,9594.099609,9485.450195,9500.049805
25/3/2019,9446.849609,9446.849609,9381.900391,9411.650391
26/3/2019,9431.900391,9522.450195,9421.599609,9512.599609
27/3/2019,9552.200195,9569.599609,9475.400391,9501.799805
28/3/2019,9518.700195,9613.549805,9510.799805,9601.950195
1/4/2019,9703,9756.299805,9683.950195,9702
2/4/2019,9735.049805,9735.049805,9681.599609,9720.799805
3/4/2019,9742.349609,9765.650391,9647.200195,9658.400391
4/4/2019,9674,9675.200195,9590.849609,9626.650391
5/4/2019,9659.650391,9700.400391,9641.450195,9684.950195
8/4/2019,9715.450195,9719.950195,9593.849609,9634.400391
9/4/2019,9641.900391,9685.849609,9594.950195,9677.75
10/4/2019,9661.549805,9690.349609,9612.849609,9622.950195
11/4/2019,9630.150391,9641.75,9599.200195,9634.549805
12/4/2019,9646.599609,9682.299805,9626.950195,9674.599609
15/4/2019,9697.650391,9726.849609,9683.799805,9716.5
16/4/2019,9751.349609,9796.099609,9748.700195,9781.400391
18/4/2019,9826.450195,9826.450195,9721.400391,9738.700195
22/4/2019,9715.950195,9715.950195,9591.799805,9599.799805
23/4/2019,9614.849609,9642.150391,9577,9587.299805
24/4/2019,9607.400391,9696.549805,9585.25,9687.549805
25/4/2019,9697.799805,9742.849609,9616.299805,9628.799805
26/4/2019,9661.099609,9695.400391,9632.049805,9689.700195
30/4/2019,9684.799805,9684.799805,9592.150391,9664.299805
2/5/2019,9646.400391,9694.950195,9620.700195,9637.5
3/5/2019,9637.5,9665.5,9613.599609,9624.549805
6/5/2019,9544.950195,9567.400391,9513.849609,9532.450195
7/5/2019,9573.299805,9578.549805,9441.5,9450.799805
8/5/2019,9433.099609,9433.450195,9331.700195,9340.25
9/5/2019,9313.549805,9339.549805,9261.5,9299.75
10/5/2019,9309.349609,9335.150391,9271.099609,9290.200195
13/5/2019,9274.049805,9288.849609,9143.950195,9159.950195
14/5/2019,9156,9261.849609,9108.450195,9212.349609
